ID,TRL2,TRVHR,time
820104,3.5,28,28.37
820107,3.5,28,28.38
820108,3.5,28,28.37
820109,3.5,28,28.20
820110,3.5,28,28.35
820112,3.5,28,28.35
820114,3.5,28,28.33
820115,3.5,28,28.23
820116,3.5,28,28.27
820117,3.5,28,28.25
820118,3.5,28,28.22
820119,3.5,28,28.92
820120,3.5,28,28.90
820121,3.5,28,28.95
820122,3.5,28,28.92
820123,3.5,28,28.92
820124,3.5,28,28.95
820125,3.5,28,28.90
820126,3.5,28,28.97
820127,3.5,28,28.98
820128,3.5,28,28.95
820129,3.5,28,28.90
820130,3.5,28,28.90
820131,3.5,28,28.98
820132,3.5,28,28.90
820677,3.5,28,28.00
820678,3.5,28,28.08
820679,3.5,28,28.07
820680,3.5,28,28.08
820683,3.5,28,28.00
820684,3.5,28,28.10
820685,3.5,28,28.00
820686,3.5,28,28.02
820687,3.5,28,28.02
820688,3.5,28,28.08
820694,3.5,28,28.10
820695,3.5,28,28.05
820697,3.5,28,28.02
820700,3.5,28,28.62
820701,3.5,28,28.63
820702,3.5,28,28.22
820703,3.5,28,28.62
820704,3.5,28,28.35
820705,3.5,28,28.38
820706,3.5,28,28.15
820707,3.5,28,28.15
820708,3.5,28,28.63
820709,3.5,28,28.22
820710,3.5,28,28.17
820711,3.5,28,28.18
820712,3.5,28,28.37
820713,3.5,28,28.65
820714,3.5,28,28.20
820715,3.5,28,28.07
820716,3.5,28,28.22
820717,3.5,28,28.62
820718,3.5,28,28.10
820719,3.5,28,28.08
839184,3.5,28,28.63
844242,3.5,28,28.37
844248,3.5,28,28.45
844249,3.5,28,28.37
844250,3.5,28,28.37
844251,3.5,28,28.33
844252,3.5,28,28.38
844253,3.5,28,28.45
844254,3.5,28,28.38
844255,3.5,28,28.37
844256,3.5,28,28.40
844257,3.5,28,28.33
844258,3.5,28,28.42
844259,3.5,28,28.43
844260,3.5,28,28.35
844261,3.5,28,28.42
844262,3.5,28,28.37
844263,3.5,28,28.38
844264,3.5,28,28.37
844265,3.5,28,28.82
844266,3.5,28,28.80
844267,3.5,28,28.77
844268,3.5,28,28.80
844269,3.5,28,28.78
844270,3.5,28,28.82
844271,3.5,28,28.57
844272,3.5,28,28.82
852012,3.5,28,28.03
852030,3.5,28,28.15
852031,3.5,28,28.00
852032,3.5,28,28.12
852033,3.5,28,28.13
852034,3.5,28,28.12
852035,3.5,28,28.13
852036,3.5,28,28.12
852039,3.5,28,28.08
852040,3.5,28,28.10
852042,3.5,28,28.07
852043,3.5,28,28.07
852044,3.5,28,28.02
852045,3.5,28,28.13
852046,3.5,28,28.15
852047,3.5,28,28.02
852048,3.5,28,28.15
869054,3.5,28,28.28
869055,3.5,28,28.27
869056,3.5,28,28.60
869057,3.5,28,28.23
869059,3.5,28,28.27
869060,3.5,28,28.35
869061,3.5,28,28.28
869062,3.5,28,28.60
869064,3.5,28,28.63
869065,3.5,28,28.35
869066,3.5,28,28.62
786897,3.5,27,27.52
786899,3.5,27,27.45
786900,3.5,27,27.47
786901,3.5,27,27.48
786902,3.5,27,27.47
786903,3.5,27,27.05
786904,3.5,27,27.08
786905,3.5,27,27.02
786970,3.5,27,27.07
809760,3.5,27,27.52
809762,3.5,27,27.50
809763,3.5,27,27.48
809764,3.5,27,27.52
809765,3.5,27,27.42
809766,3.5,27,27.52
809767,3.5,27,27.48
809769,3.5,27,27.55
809770,3.5,27,27.47
809771,3.5,27,27.13
809772,3.5,27,27.07
809773,3.5,27,27.43
809775,3.5,27,27.13
809776,3.5,27,27.03
809777,3.5,27,27.05
809778,3.5,27,27.00
809779,3.5,27,27.55
809780,3.5,27,27.00
809781,3.5,27,27.05
809785,3.5,27,27.07
809787,3.5,27,27.15
809788,3.5,27,27.13
809791,3.5,27,27.13
809792,3.5,27,27.03
809793,3.5,27,27.03
809794,3.5,27,27.10
809795,3.5,27,27.05
809796,3.5,27,27.05
809797,3.5,27,27.05
813667,3.5,27,27.52
813668,3.5,27,27.53
813669,3.5,27,27.47
813670,3.5,27,27.45
813671,3.5,27,27.52
813672,3.5,27,27.53
813673,3.5,27,27.48
813674,3.5,27,27.47
813675,3.5,27,27.43
813676,3.5,27,27.53
813677,3.5,27,27.48
813678,3.5,27,27.50
813679,3.5,27,27.47
813680,3.5,27,27.48
813681,3.5,27,27.28
813682,3.5,27,27.10
813683,3.5,27,27.22
813684,3.5,27,27.10
813685,3.5,27,27.23
813686,3.5,27,27.12
813687,3.5,27,27.10
813688,3.5,27,27.15
813689,3.5,27,27.28
813690,3.5,27,27.13
813691,3.5,27,27.10
813692,3.5,27,27.10
813693,3.5,27,27.15
813694,3.5,27,27.10
813831,3.5,27,27.58
813832,3.5,27,27.58
813834,3.5,27,27.60
813837,3.5,27,27.18
813841,3.5,27,27.13
814521,3.5,27,27.45
814543,3.5,27,27.97
814547,3.5,27,27.93
814550,3.5,27,27.93
814551,3.5,27,27.97
814552,3.5,27,27.98
814553,3.5,27,27.95
814554,3.5,27,27.90
814556,3.5,27,27.98
814557,3.5,27,27.98
814558,3.5,27,27.97
814559,3.5,27,27.98
814560,3.5,27,27.93
814563,3.5,27,27.95
814641,3.5,27,27.03
814642,3.5,27,27.00
814643,3.5,27,27.02
814644,3.5,27,27.08
814647,3.5,27,27.03
814648,3.5,27,27.02
814649,3.5,27,27.08
814651,3.5,27,27.47
814652,3.5,27,27.47
814653,3.5,27,27.48
814654,3.5,27,27.33
814655,3.5,27,27.45
814656,3.5,27,27.50
814657,3.5,27,27.43
814659,3.5,27,27.48
814660,3.5,27,27.43
814661,3.5,27,27.48
814662,3.5,27,27.33
814663,3.5,27,27.47
814664,3.5,27,27.48
814665,3.5,27,27.35
814666,3.5,27,27.35
814667,3.5,27,27.48
814668,3.5,27,27.50
814669,3.5,27,27.45
814670,3.5,27,27.33
814671,3.5,27,27.47
814867,3.5,27,27.65
814868,3.5,27,27.63
814871,3.5,27,27.62
814873,3.5,27,27.63
814875,3.5,27,27.62
814877,3.5,27,27.27
814878,3.5,27,27.22
814879,3.5,27,27.23
814880,3.5,27,27.22
814881,3.5,27,27.23
814882,3.5,27,27.23
814883,3.5,27,27.25
814885,3.5,27,27.22
814886,3.5,27,27.23
814890,3.5,27,27.23
815605,3.5,27,27.12
815606,3.5,27,27.13
815607,3.5,27,27.12
815608,3.5,27,27.12
815609,3.5,27,27.10
815610,3.5,27,27.12
815611,3.5,27,27.08
815612,3.5,27,27.08
815735,3.5,27,27.77
815736,3.5,27,27.78
815737,3.5,27,27.80
815738,3.5,27,27.78
815739,3.5,27,27.78
815740,3.5,27,27.77
815741,3.5,27,27.73
815742,3.5,27,27.78
815745,3.5,27,27.82
815746,3.5,27,27.80
815747,3.5,27,27.77
815748,3.5,27,27.77
819305,3.5,27,27.30
819307,3.5,27,27.35
819308,3.5,27,27.35
819309,3.5,27,27.35
819331,3.5,27,27.20
819382,3.5,27,27.08
819383,3.5,27,27.18
819384,3.5,27,27.10
819385,3.5,27,27.12
819386,3.5,27,27.13
819387,3.5,27,27.15
819388,3.5,27,27.12
819510,3.5,27,27.75
819511,3.5,27,27.78
819512,3.5,27,27.80
819514,3.5,27,27.77
819515,3.5,27,27.78
819518,3.5,27,27.82
819522,3.5,27,27.02
819523,3.5,27,27.02
819524,3.5,27,27.03
819525,3.5,27,27.02
819528,3.5,27,27.00
819529,3.5,27,27.02
819530,3.5,27,27.00
820663,3.5,27,27.35
820665,3.5,27,27.48
820667,3.5,27,27.47
820676,3.5,27,27.35
820681,3.5,27,27.98
820682,3.5,27,27.95
820689,3.5,27,27.90
820690,3.5,27,27.98
820691,3.5,27,27.95
820692,3.5,27,27.98
820693,3.5,27,27.98
820696,3.5,27,27.95
820698,3.5,27,27.93
820720,3.5,27,27.20
820722,3.5,27,27.23
820724,3.5,27,27.28
820726,3.5,27,27.22
820728,3.5,27,27.32
820729,3.5,27,27.23
820732,3.5,27,27.22
820735,3.5,27,27.18
820799,3.5,27,27.03
820800,3.5,27,27.03
820801,3.5,27,27.08
820802,3.5,27,27.03
820803,3.5,27,27.10
820804,3.5,27,27.10
820805,3.5,27,27.20
820806,3.5,27,27.05
820807,3.5,27,27.10
820808,3.5,27,27.07
820809,3.5,27,27.07
820810,3.5,27,27.05
820811,3.5,27,27.08
820812,3.5,27,27.03
820814,3.5,27,27.07
820822,3.5,27,27.30
820990,3.5,27,27.68
820992,3.5,27,27.68
820996,3.5,27,27.68
820997,3.5,27,27.68
829002,3.5,27,27.72
829005,3.5,27,27.70
829008,3.5,27,27.67
829010,3.5,27,27.25
829011,3.5,27,27.22
829013,3.5,27,27.18
829014,3.5,27,27.20
829015,3.5,27,27.13
829016,3.5,27,27.17
829017,3.5,27,27.20
829018,3.5,27,27.22
829019,3.5,27,27.22
829020,3.5,27,27.25
829022,3.5,27,27.22
835671,3.5,27,27.77
835676,3.5,27,27.80
835677,3.5,27,27.82
835678,3.5,27,27.55
835679,3.5,27,27.78
835680,3.5,27,27.87
835681,3.5,27,27.82
835682,3.5,27,27.82
835683,3.5,27,27.82
835684,3.5,27,27.78
835685,3.5,27,27.82
835686,3.5,27,27.82
835687,3.5,27,27.85
835688,3.5,27,27.52
835689,3.5,27,27.48
835690,3.5,27,27.53
