"","ID","EID.x","BIRTH","sex","BREED","Breed2","TRVHR","time","BRTHW","SERUM","SORCE","TRL2.x","LOADT","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_NAVEL1","Remark_NAVEL1","Date_NAVEL2","Remark_NAVEL2","Date_NAVEL3","Remark_NAVEL3","Date_DIED1","Remark_DIED1","TRL2","LOADT_date","ARR","diaload","diaARR","dfaP1","dbtwP12","dbtwP23","dfaP2","dfaP3","dfaD1","dfaD2","dbtwD12","dfaB1","dfaB2","dfaN1","dfaN2","dfaN3","dfaDIED","LOAD","n","sbTRT","SD","Sex","DB","DBxS","Behav?","TRVhr","...10","transitT","PN1a","PN2","PN3","DIA1","DIA2","B1","B2","N1","DIED","PN2a","Date_PN1a","Date_PN2a"
"11",815136,"USA003307782391",2025-06-18,"F","D","D",NA,NA,78,0,"RVD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"12",815137,"USA003305240014",2025-06-18,"F","D","D",NA,NA,83,0,"RVD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"13",844211,"USA003313295231",2025-06-18,"F","D","D",NA,NA,75,0,"CAD",3,2025-06-23,NA,NA,NA,NA,NA,NA,2025-06-29,"ADDPACK",NA,NA,NA,NA,NA,NA,2025-06-20,"EXCENEL IM",2025-06-21,"EXCENEL IM",2025-06-24,"EXE/FLU",NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,-4,-3,0,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,1,0,0,0,0,0,0,NA,NA
"14",1397877,"USA003298711286",2025-06-18,"F","B","B",23,23.7,68,0,"SWD",3.5,2025-06-23,2025-08-02,"RES6X100",2025-08-07,"EXCE-1.5CC",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,5,6,39,5,46,44,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.7,1,1,1,0,0,0,0,0,0,1,2025-08-02,2025-09-22
"15",1397880,"USA003298711536",2025-06-18,"F","B","B",23,23.5,77,0,"SWD",3.5,2025-06-23,2025-09-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,5,6,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.5,1,0,0,0,0,0,0,0,0,0,2025-09-25,NA
"16",1409918,"USA003297154066",2025-06-18,"M","B","B",22,22.5,71,0,"CAD",3,2025-06-23,2025-09-20,"RES6X100",2025-09-25,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,88,5,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,22.5,1,1,0,0,0,0,0,0,0,0,2025-09-20,NA
"17",1409920,"USA003295912347",2025-06-18,"M","B","B",22,22.5,107,0,"CAD",3,2025-06-23,2025-09-26,"RES6X100",2025-10-06,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,2025-09-26,"MIN OIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,94,10,NA,104,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,22.5,1,1,0,0,0,1,0,0,0,1,2025-09-26,2025-10-06
"18",1410489,"USA003306591154",2025-06-18,"F","B","B",23,23.7,84,0,"DUD",3.5,2025-06-23,2025-10-20,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,5,6,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.7,1,0,0,0,0,0,0,0,0,0,2025-10-20,NA
"19",1412206,"USA003306584624",2025-06-18,"M","B","B",23,23.7,106,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,23.7,0,0,0,0,0,0,0,0,0,0,NA,NA
"20",1412207,"USA003306584417",2025-06-18,"M","B","B",22,22.8,116,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,22.8,0,0,0,0,0,0,0,0,0,0,NA,NA
"21",1412211,"USA003306584314",2025-06-18,"F","B","B",23,23.7,82,0,"LOD",3.5,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.7,0,0,0,0,0,0,0,0,0,0,NA,NA
"22",1412212,"USA003306585185",2025-06-18,"M","B","B",NA,NA,111,0,"LOD",3,2025-06-23,2025-08-30,"RES6X100",2025-09-04,"EXCE-1.5CC",NA,NA,2025-06-28,"BISMUTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,67,5,NA,72,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,22.6,1,1,0,1,0,0,0,0,0,0,2025-08-30,NA
"23",1412213,"USA003306584950",2025-06-18,"M","B","B",23,23.6,100,0,"LOD",3,2025-06-23,2025-09-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-20,"EXCENEL IM",2025-06-21,"EXCENEL IM",NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-3,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,23.6,1,0,0,0,0,0,0,0,0,0,2025-09-28,NA
"24",1412214,"USA003306584916",2025-06-18,"M","B","B",23,23.5,88,0,"LOD",3,2025-06-23,2025-09-09,"RES6X100",2025-09-14,"EXCE-1.5CC",2025-09-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,77,5,14,82,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,23.5,1,1,1,0,0,0,0,0,0,1,2025-09-09,2025-09-28
