"","CalfID","sex","Breed2","stp","BRTHW","SORCE","SD","DB","diaload","diaARR","LOAD","week","transitT","PN1a","PN2a","DIA1","D30","P30","P60","D30yn","D60yn","diaex","navelex","DIA30","PNEU30","PNEU60","Nav30","N30","DED30","DED60","Remark_PNEU1","Remark_DIED1","SD_DB"
"32",1416519,"F","B",0,83,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"33",1416521,"F","B",0,90,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"34",1416525,"F","B",0,100,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,1,1,0,0,0,0,0,0,4,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"35",1416526,"F","B",0,118,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"36",1416527,"F","B",0,89,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"37",1416528,"F","B",0,97,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"38",1416529,"F","B",0,85,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"39",1416530,"F","B",0,90,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"40",1416531,"F","B",0,79,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,1,1,0,1,0,0,0,0,2,30,32,30,0,30,60,"RES6X100",NA,"3.5_B"
"41",1416534,"F","B",0,95,"WAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"EXCE-1.5CC",NA,"3.5_B"
"42",1424831,"F","B",0,95,"WRD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.6,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"43",1424833,"M","B",0,82,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.8,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"44",1424834,"F","B",0,98,"WRD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.5,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"45",1424835,"M","B",0,85,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.7,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_B"
"46",1424836,"F","B",0,68,"WRD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.6,1,1,0,0,0,1,0,0,0,0,30,30,44,30,0,30,60,"RES6X100",NA,"3.5_B"
"47",1424837,"M","B",0,104,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.7,0,0,0,0,0,0,0,0,0,1,30,30,60,NA,NA,30,60,NA,NA,"3_B"
"48",1424841,"F","B",0,88,"WRD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.5,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"49",1424842,"M","B",0,99,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.7,1,1,0,0,1,1,0,0,0,0,30,25,25,30,0,30,60,"RES6X100",NA,"3_B"
"50",1424844,"M","B",0,95,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.7,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"51",1424845,"M","B",0,80,"WRD",3,"B",5,6,"2025-06-23_3_B","A",23.6,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"52",1424847,"M","B",0,78,"WRD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,1,1,1,0,0,0,0,0,1,7,30,60,NA,NA,30,60,"RES6X100",NA,"3_B"
"53",1424848,"M","B",0,80,"WRD",3,"B",5,6,"2025-06-23_3_B","A",23.5,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_B"
"54",1424849,"F","B",0,80,"WRD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.2,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"55",1426302,"F","B",0,86,"MSD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.7,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"56",1426303,"F","B",0,69,"MSD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.7,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
