"","Cow","hoursfrom","lyingm","standingm","steps","mi","transitions","Date","Time","End","Steps","Motion Index","Lying Time","Standing Time","Transitions","Transitions Up","Transitions Down","CalfID","Bdat","FOO","BRTHW","stp","Breed2","diaload","diaARR","TRT","OneLoad","DatMOC","IceCube","DatON","TimeONp","ToTCC","TimetoTCCp","Section","ArrTCC","TimeArrTCCp","TimeTrip","DatOFF","TimeOFFp","PN1a","DIA1","D30","P30","P60","datetime","datetimeon","datetimeoff","match_flag","tfship","timecat"
"13",100,0,2.15,12.85,14,89,2,2025-06-30,13:21:00,"6/30/2025 13:36",14,89,00:02:09,00:12:51,2,1,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 13:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,1,0,"during"
"14",100,1,40.8,19.2,30,274,9,2025-06-30,13:36:00,"6/30/2025 13:51",14,79,00:05:21,00:09:39,6,3,3,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 13:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,1,"during"
"15",100,2,60,0,0,40,0,2025-06-30,14:36:00,"6/30/2025 14:51",0,13,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 14:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,5,"during"
"16",100,3,38.4666666666667,21.5333333333333,50,277,4,2025-06-30,15:36:00,"6/30/2025 15:51",18,79,00:01:29,00:13:31,1,1,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 15:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,9,"during"
"17",100,4,48.95,11.05,6,56,2,2025-06-30,16:36:00,"6/30/2025 16:51",0,1,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 16:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,13,"during"
"18",100,5,37.8,22.2,39,271,4,2025-06-30,17:36:00,"6/30/2025 17:51",0,3,00:11:01,00:03:59,1,1,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 17:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,17,"during"
"19",100,6,47.9333333333333,12.0666666666667,14,162,4,2025-06-30,18:36:00,"6/30/2025 18:51",6,76,00:06:27,00:08:33,2,1,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 18:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,21,"during"
"20",100,7,48.6166666666667,11.3833333333333,8,56,2,2025-06-30,19:36:00,"6/30/2025 19:51",0,7,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 19:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,25,"during"
"21",100,13,60,0,0,71,0,2025-07-01,01:36:00,"7/1/2025 1:51",0,40,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 01:36:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,49,"during"
"22",100,14,48.0833333333333,11.9166666666667,1,72,5,2025-07-01,04:23:00,"7/1/2025 4:38",0,17,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 04:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,53,"during"
