Cow,CalfID,Bdat,FOO,DatMOC,IceCube,DatON,TimeON,TimeONp,TRT,ToTCC,TimetoTCC,TimetoTCCp,Section,ArrTCC,TimeArrTCC,TimeArrTCCp,TimeTrip,DatOFF,TimeOFF,TimeOFFp
127,682103,6/26/25,NOD   , 6/27/25 ,1839,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:03,15:03,25.9,7/3/25,9:00,14:00
128,682100,6/25/25,NOD   , 6/27/25 ,1843,6/27/25,15:00,20:00,DF4.5,6/30/25,8:08,13:08,F ,7/1/25,10:04,15:04,25.9,7/3/25,9:00,14:00
129,809398,6/26/25,LOD   , 6/27/25 ,1847,6/27/25,15:00,20:00,DF4.5,6/30/25,8:24,13:24,H ,7/1/25,10:01,15:01,25.6,7/3/25,9:00,14:00
130,817297,6/26/25,GAD   , 6/27/25 ,1858,6/27/25,15:00,20:00,DF4.5,6/30/25,7:59,12:59,B ,7/1/25,10:18,15:18,26.3,7/3/25,9:00,14:00
131,813348,6/26/25,SWD   , 6/27/25 ,1870,6/27/25,15:00,20:00,DF4.5,6/30/25,8:24,13:24,H ,7/1/25,10:01,15:01,25.6,7/3/25,9:00,14:00
132,682113,6/26/25,NOD   , 6/27/25 ,1871,6/27/25,15:00,20:00,DF4.5,6/30/25,8:21,13:21,G ,7/1/25,10:02,15:02,25.7,7/3/25,9:00,14:00
133,820170,6/26/25,WSD   , 6/27/25 ,1922,6/27/25,15:00,20:00,DF4.5,6/30/25,8:04,13:04,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
134,817526,6/26/25,GAD   , 6/27/25 ,1923,6/27/25,15:00,20:00,DF4.5,6/30/25,8:01,13:01,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
135,682111,6/26/25,NOD   , 6/27/25 ,7510,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:05,15:05,25.9,7/3/25,9:00,14:00
136,820176,6/26/25,WSD   , 6/27/25 ,7511,6/27/25,15:00,20:00,DF4.5,6/30/25,8:04,13:04,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
137,814183,6/26/25,WAD   , 6/27/25 ,7568,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:02,15:02,25.9,7/3/25,9:00,14:00
138,820181,6/27/25,WSD   , 6/27/25 ,7595,6/27/25,15:00,20:00,DF4.5,6/30/25,8:02,13:02,D ,7/1/25,10:16,15:16,26.2,7/3/25,9:00,14:00
139,820173,6/26/25,WSD   , 6/27/25 ,7589,6/27/25,15:00,20:00,DF4.5,6/30/25,8:00,13:00,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
140,814173,6/26/25,WAD   , 6/27/25 ,7597,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:05,15:05,25.9,7/3/25,9:00,14:00
141,820172,6/26/25,WSD   , 6/27/25 ,7599,6/27/25,15:00,20:00,DF4.5,6/30/25,8:03,13:03,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
142,682107,6/26/25,NOD   , 6/27/25 ,7600,6/27/25,15:00,20:00,DF4.5,6/30/25,8:12,13:12,G ,7/1/25,10:06,15:06,25.9,7/3/25,9:00,14:00
143,814181,6/26/25,WAD   , 6/27/25 ,7608,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:02,15:02,25.9,7/3/25,9:00,14:00
144,820164,6/26/25,WSD   , 6/27/25 ,7610,6/27/25,15:00,20:00,DF4.5,6/30/25,8:05,13:05,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
